county_name,reg_voters,lowdem,uncertain,persuasion,highdem,census_block_group_2010
,5043624,0,0,0,0,
,0,0,0,0,0,480019501003
,0,0,0,0,0,480019509023
,1,0,0,0,0,480019509024
,1,0,0,0,0,480050001011
,3,0,0,0,0,480050001021
,1,0,0,0,0,480050003012
,0,0,0,0,0,480050003021
,1,0,0,0,0,480050008002
,1,0,0,0,0,480139602023
,1,0,0,0,0,480139602024
,1,0,0,0,0,480157602002
,1,0,0,0,0,480157605013
,1,0,0,0,0,480190001022
,0,0,0,0,0,480190002001
,1,0,0,0,0,480190003001
,0,0,0,0,0,480190004002
,0,0,0,0,0,480219503004
,1,0,0,0,0,480219504005
,1,0,0,0,0,480259502013
,2,0,0,0,0,480270215003
,1,0,0,0,0,480270217001
,1,0,0,0,0,480270219041
,1,0,0,0,0,480270220001
,0,0,0,0,0,480270220003
,0,0,0,0,0,480270225021
,1,0,0,0,0,480270232021
,3,0,0,0,0,480270232022
,1,0,0,0,0,480270233001
,0,0,0,0,0,480270234031
,2,0,0,0,0,480291110002
,1,0,0,0,0,480291201001
,1,0,0,0,0,480291207021
,1,0,0,0,0,480291307001
,2,0,0,0,0,480291312001
,1,0,0,0,0,480291512005
,1,0,0,0,0,480291801022
,0,0,0,0,0,480291818251
,1,0,0,0,0,480291917021
,1,0,0,0,0,480291921001
,1,0,0,0,0,480319501001
,2,0,0,0,0,480359501001
,0,0,0,0,0,480359502001
,1,0,0,0,0,480359505002
,1,0,0,0,0,480359507002
,1,0,0,0,0,480370104003
,2,0,0,0,0,480370105003
,2,0,0,0,0,480370109014
,0,0,0,0,0,480396609002
,0,0,0,0,0,480396615011
,4,0,0,0,0,480499511002
,1,0,0,0,0,480519703003
,2,0,0,0,0,480539605001
,0,0,0,0,0,480539606001
,1,0,0,0,0,480559601012
,0,0,0,0,0,480570004004
,1,0,0,0,0,480610119012
,1,0,0,0,0,480610120012
,1,0,0,0,0,480610124021
,0,0,0,0,0,480610133032
,1,0,0,0,0,480679501003
,2,0,0,0,0,480717101001
,1,0,0,0,0,480717102002
,13,0,0,0,0,480717105003
,3,0,0,0,0,480739506002
,1,0,0,0,0,480739509001
,1,0,0,0,0,480739510002
,0,0,0,0,0,480739510003
,2,0,0,0,0,480850302032
,1,0,0,0,0,480850310011
,1,0,0,0,0,480990104004
,0,0,0,0,0,481039501002
,1,0,0,0,0,481130073024
,1,0,0,0,0,481130085004
,1,0,0,0,0,481130132002
,0,0,0,0,0,481130138061
,0,0,0,0,0,481130154016
,1,0,0,0,0,481130181392
,1,0,0,0,0,481130181412
,1,0,0,0,0,481159505002
,1,0,0,0,0,481199502002
,1,0,0,0,0,481210214032
,0,0,0,0,0,481299503002
,0,0,0,0,0,481339503006
,1,0,0,0,0,481390602061
,1,0,0,0,0,481390615002
,1,0,0,0,0,481410015023
,1,0,0,0,0,481439503004
,1,0,0,0,0,481479501002
,1,0,0,0,0,481479504012
,1,0,0,0,0,481479505001
,1,0,0,0,0,481610003001
,1,0,0,0,0,481677255002
,0,0,0,0,0,481810002002
,1,0,0,0,0,481810003041
,1,0,0,0,0,481830015002
,1,0,0,0,0,481851801022
,2,0,0,0,0,481851803014
,1,0,0,0,0,481899506002
,1,0,0,0,0,481899506003
,1,0,0,0,0,481979501003
,0,0,0,0,0,482012512002
,1,0,0,0,0,482013331001
,1,0,0,0,0,482013340011
,1,0,0,0,0,482015530012
,0,0,0,0,0,482015557011
,1,0,0,0,0,482015560001
,1,0,0,0,0,482030201022
,0,0,0,0,0,482030201031
,2,0,0,0,0,482030201032
,2,0,0,0,0,482030202001
,0,0,0,0,0,482030202002
,0,0,0,0,0,482030202004
,1,0,0,0,0,482030204013
,2,0,0,0,0,482030205023
,0,0,0,0,0,482030206041
,1,0,0,0,0,482030206052
,1,0,0,0,0,482030206053
,2,0,0,0,0,482090107011
,1,0,0,0,0,482090107014
,6,0,0,0,0,482090108071
,2,0,0,0,0,482139509021
,0,0,0,0,0,482139511003
,3,0,0,0,0,482150204042
,1,0,0,0,0,482150214043
,1,0,0,0,0,482150219031
,2,0,0,0,0,482150219033
,1,0,0,0,0,482150222011
,1,0,0,0,0,482150222013
,0,0,0,0,0,482150231041
,2,0,0,0,0,482150231042
,1,0,0,0,0,482150231043
,1,0,0,0,0,482150236005
,2,0,0,0,0,482150238011
,1,0,0,0,0,482150239021
,1,0,0,0,0,482150239023
,1,0,0,0,0,482150241053
,2,0,0,0,0,482150241063
,2,0,0,0,0,482150241101
,1,0,0,0,0,482179601002
,0,0,0,0,0,482199501001
,1,0,0,0,0,482319602002
,1,0,0,0,0,482319606003
,0,0,0,0,0,482419501003
,1,0,0,0,0,482499501002
,0,0,0,0,0,482511302073
,1,0,0,0,0,482511309002
,0,0,0,0,0,482599704011
,2,0,0,0,0,482659603011
,0,0,0,0,0,482659603022
,1,0,0,0,0,482659603024
,0,0,0,0,0,482679501001
,1,0,0,0,0,482770003002
,1,0,0,0,0,482819501001
,0,0,0,0,0,482819503023
,2,0,0,0,0,482899501002
,0,0,0,0,0,482899501003
,0,0,0,0,0,482899502005
,3,0,0,0,0,482899503003
,1,0,0,0,0,482899503004
,0,0,0,0,0,482917001003
,1,0,0,0,0,482917003002
,0,0,0,0,0,482917004001
,1,0,0,0,0,482917004002
,0,0,0,0,0,482917006002
,1,0,0,0,0,482917010003
,1,0,0,0,0,482939701001
,1,0,0,0,0,482939703002
,1,0,0,0,0,482999701001
,1,0,0,0,0,482999702002
,1,0,0,0,0,482999704003
,1,0,0,0,0,482999706001
,1,0,0,0,0,483030002012
,2,0,0,0,0,483030005003
,0,0,0,0,0,483030102003
,1,0,0,0,0,483030103022
,0,0,0,0,0,483030104021
,1,0,0,0,0,483030104082
,0,0,0,0,0,483030107001
,1,0,0,0,0,483030107002
,0,0,0,0,0,483059504001
,0,0,0,0,0,483090003001
,1,0,0,0,0,483090040001
,0,0,0,0,0,483090043004
,0,0,0,0,0,483130002002
,0,0,0,0,0,483130003001
,0,0,0,0,0,483159504002
,1,0,0,0,0,483179501001
,0,0,0,0,0,483217302011
,0,0,0,0,0,483217302017
,0,0,0,0,0,483217303021
,0,0,0,0,0,483217304001
,0,0,0,0,0,483217306004
,0,0,0,0,0,483290101135
,0,0,0,0,0,483359502005
,2,0,0,0,0,483379503001
,2,0,0,0,0,483396916012
,7,0,0,0,0,483396918005
,4,0,0,0,0,483396926022
,1,0,0,0,0,483396933001
,2,0,0,0,0,483396941012
,1,0,0,0,0,483396942021
,1,0,0,0,0,483396942024
,1,0,0,0,0,483396943012
,3,0,0,0,0,483396944003
,1,0,0,0,0,483439501003
,1,0,0,0,0,483439502003
,1,0,0,0,0,483439502004
,1,0,0,0,0,483439502005
,1,0,0,0,0,483439503003
,0,0,0,0,0,483479501002
,2,0,0,0,0,483479503012
,1,0,0,0,0,483479504003
