id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
0,,ANDERSON,1,COURTHOUSE ANNEX 703 N MALLARD,703 N MALLARD STE 103A,,PALESTINE,TX,48,75801,,31.766257,-95.628111,10/19 7-7 10/20-10/23 8-5 10/24 8-5 10/25 10-4 10/26-10/28 7-7 10/29-10/30 8-5,,,State Party,2020-10-27,TRUE,
1,,ANDREWS,3,JAMES ROBERTS,855 EAST BROADWAY ANDREWS,,ANDREWS,TX,48,79714,,32.322107,-102.531338,10/19 7 AM-7 PM; 10/20-10/21 8 AM-5 PM; 10/22 7 AM-7 PM; 10/23 8 AM-5 PM; 10/26-10/30 8 AM-5 PM,,,State Party,2020-10-27,TRUE,
2,,ANGELINA,5,CITY OF LUFKIN PARKS AND RECREATION BUILDING,516 MONTROSE ST,,LUFKIN,TX,48,75901,,31.333496,-94.723571,10/18 12-5 10/19-10/21 8-5 10/22-10/23 7-7 10/24 8-5 10/25 12-5 10/26-10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
3,,ANGELINA,5,FIRST BAPTIST CHURCH FAMILY LIFE CENTER,802 N. MAIN,,HUNTINGTON,TX,48,75949,,31.283889,-94.573582,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
4,,ANGELINA,5,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,601 DENNIS,,DIBOLL,TX,48,75941,,31.180174,-94.777799,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
5,,ANGELINA,5,ZAVALLA FIRST BAPTIST CHURCH FAMILY LIFE CENTER,1034 E. MAIN ST,,ZAVALLA,TX,48,75980,,31.15437,-94.412257,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
6,,ARANSAS,7,"ELECTIONS & VOTER REGISTRATION BUILDING 602 E CONCHO, ROCKPORT",602 E CONCHO,,ROCKPORT,TX,48,78382,,28.025478,-97.055437,10/19-10/24 8-5 10/26 7-7 10/27 8-5 10/28 7-7 10/29 8-5 10/30 7-7,,,State Party,2020-10-27,TRUE,
7,,ARANSAS,7,FULTON VOLUNTEER FIRE DEPARTMENT,401 N 9TH ST,,FULTON,TX,48,78358,,28.065355,-97.04231,10/19-10/24 8-5 10/26 7-7 10/27 8-5 10/28 7-7 10/29 8-5 10/30 7-7,,,State Party,2020-10-27,TRUE,
8,,ARCHER,9,ARCHER CO. COURTHOUSE ANNEX,112 EAST WALNUT STREET,,ARCHER CITY,TX,48,76351,,33.594547,-98.625161,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
9,,ARCHER,9,HOLLIDAY CITY HALL,110 WEST OLIVE ST,,HOLLIDAY,TX,48,76366,,33.816027,-98.696018,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
10,,ARCHER,9,LAKESIDE CITY MUNCIPAL BUILDING,42 DONNA STREET,,LAKESIDE CITY,TX,48,76308,,33.831438,-98.527647,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
11,,ARMSTRONG,11,COURTHOUSE LOBBY,100 TRICE,,CLAUDE,TX,48,79019,,35.109927,-101.359544,10/19-10/24 08:00 AM-05:00 PM; 10/26-10/30 09:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
12,,ATASCOSA,13,ATASCOSA COUNTY ANNEX II BUILDING,914 N MAIN STREET,,JOURDANTON,TX,48,78026,,28.920912,-98.543812,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
13,,ATASCOSA,13,JUSTICE OF THE PEACE #2,1567 FM 3175,,LYTLE,TX,48,78052,,29.207087,-98.784246,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
14,,ATASCOSA,13,JUSTICE OF THE PEACE PCT 4,744 HWY 281 SOUTH,,PLEASANTON,TX,48,78064,,28.950802,-98.484468,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
15,,ATASCOSA,13,POTEET EMS,551 BROADWAY ST.,,POTEET,TX,48,78065,,29.037048,-98.572869,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
16,,AUSTIN,15,AUSTIN COUNTY ANNEX (WENDT STREET),800 WENDT STREET,,BELLVILLE,TX,48,77418,,29.94015,-96.253844,10/19-10/23 08:00 AM-05:30 PM; 10/26-10/30 08:00 AM-05:30 PM,,,State Party,2020-10-27,TRUE,
17,,AUSTIN,15,W E HILL COMMUNITY CENTER,1000 MAIN ST,,SEALY,TX,48,77474,,29.779412,-96.167305,10/19-10/23 09:00 AM-06:00 PM; 10/26-10/28 09:00 AM-06:00 PM; 10/29-10/30 07:00 AM-07:00 PM,,,State Party,2020-10-27,TRUE,
18,,BAILEY,17,BAILEY COUNTY CIVIC CENTER,2206 WEST AMERICAN BOULIVARD,,MULESHOE,TX,48,79347,,34.23932,-102.74839,10/13-10/30 Mon-Fri 8AM-5PM,,,State Party,2020-10-27,TRUE,
19,,BANDERA,19,LAKEHILLS AREA LIBRARY,7200 FM 1283 LAKEHILLS,,LAKEHILLS,TX,48,78063,,29.63447,-98.937932,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
20,,BANDERA,19,MEDINA TAX OFFICE ANNEX,1102 15TH STREET,,HONDO,TX,48,78861,,29.35138,-99.140933,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
21,,BANDERA,19,RAY MAUER ANNEX,403 12TH STREET,,BANDERA,TX,48,78003,,29.726103,-99.070968,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
22,,BASTROP,21,BASTROP COUNTY COURTHOUSE ANNEX,804 PECAN ST.,,BASTROP,TX,48,78602,,30.108874,-97.317818,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
23,,BASTROP,21,CEDAR CREEK UNITED METHODIST CHURCH,5630 FM 535,,CEDAR CREEK,TX,48,78612,,30.088196,-97.501353,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
24,,BASTROP,21,ELGIN PUBLIC LIBRARY,404 N. MAIN ST.,,ELGIN,TX,48,78621,,30.350711,-97.371994,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
