county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,5042039,0,0,,,
,0,0,0,114800,,
,0,0,0,138470,,
,0,0,0,148761,,
,0,0,0,153368,,
,0,0,0,179718,,
,0,0,0,18240,,
,1,0,0,289588,,
,0,0,0,297311,,
,0,0,0,297531,,
,2,0,0,297535,,
,0,0,0,301265,,
,0,0,0,301531,,
,0,0,0,301594,,
,0,0,0,315652,,
,0,0,0,315725,,
,1,0,0,317978,,
,1,0,0,323655,,
,0,0,0,325899,,
,0,0,0,329993,,
,1,0,0,331689,,
,0,0,0,333975,,
,0,0,0,334188,,
,1,0,0,336223,,
,0,0,0,342080,,
,0,0,0,342198,,
,0,0,0,346332,,
,0,0,0,353733,,
,0,0,0,355859,,
,0,0,0,357985,,
,0,0,0,360178,,
,1,0,0,362210,,
,0,0,0,371482,,
,0,0,0,379269,,
,1,0,0,484069,953987,004d
,1,0,0,484079,951602,0111
,2,0,0,484080,951328,0404
,1,0,0,484082,950281,0046
,3,0,0,484084,952409,0108
,1,0,0,484098,953302,0043
,1,0,0,484102,950261,0026
,1,0,0,484104,950900,3313
,2,0,0,484126,955593,1296
,1,0,0,484127,956611,0001w
,5,0,0,484130,953045,0758
,1,0,0,484136,955766,2522
,1,0,0,484143,954979,0115
,1,0,0,484147,953062,0776
,3,0,0,484148,955161,0006
,2,0,0,484151,950868,3201
,3,0,0,484161,953467,0024
,1,0,0,484163,951527,0036
,1,0,0,484167,949755,0033
,1,0,0,484168,956238,0154
,2,0,0,484172,954617,0069
,1,0,0,484174,954383,0305
,1,0,0,484195,953957,0045
,2,0,0,484196,950069,0055
,2,0,0,484205,948846,0017
,3,0,0,484214,949487,4010
,1,0,0,484218,954628,0080
,1,0,0,484219,950209,0011
,2,0,0,491886,949116,1065
,0,0,0,491890,956628,0205
,1,0,0,491892,955523,1082
,1,0,0,491898,952660,0362
,1,0,0,491931,951206,0017
,2,0,0,491937,952839,0545
,1,0,0,491941,949149,1099
,2,0,0,491948,951417,0202
,2,0,0,491949,955128,0001
,1,0,0,491956,950246,0011
,1,0,0,491958,955054,0019
,1,0,0,491961,955679,2180
,1,0,0,491974,955111,0306
,2,0,0,492006,954616,0068
,5,0,0,492014,951260,0202
,2,0,0,495897,954549,0001
,1,0,0,495900,955148,0020
,1,0,0,495909,956013,4259
,1,0,0,495926,949461,3157
,1,0,0,495932,956163,0213
,1,0,0,495939,953266,0007
,3,0,0,495942,952404,0103
,1,0,0,495945,950392,0157
,1,0,0,495949,956550,0013
,1,0,0,495954,952090,0004
,2,0,0,495955,954096,0022
,2,0,0,495964,949722,0008c
,1,0,0,495965,955132,0005
,1,0,0,495971,956608,0418
,3,0,0,495975,952560,0260
,0,0,0,495978,951405,0008
,1,0,0,495980,953327,0068
,0,0,0,495982,,
,3,0,0,495983,949721,0008b
,1,0,0,495986,954675,0034
,1,0,0,507664,952483,0182
,0,0,0,507672,950709,2106
,2,0,0,507675,951703,0011
,1,0,0,507676,949699,0020
,3,0,0,507681,955858,3363
,1,0,0,511473,949691,0014
,1,0,0,511475,949415,3110
,2,0,0,511480,953823,0001
,1,0,0,511485,952685,0387
,1,0,0,511500,951607,0116
,1,0,0,511501,953884,05-4
,1,0,0,511504,951464,0118
,2,0,0,511510,955513,1062
,1,0,0,511513,951375,0002
,1,0,0,511515,949686,0009
,1,0,0,511518,954111,0104
,3,0,0,511529,954629,0081
,1,0,0,511534,953342,0085
,0,0,0,511535,954665,0023
,0,0,0,511537,952651,0353
,1,0,0,511539,953142,0002
,1,0,0,511540,948840,0011
,3,0,0,511542,954068,0008
,4,0,0,511547,956454,0013
,1,0,0,511556,953267,0008
,1,0,0,511559,952938,0644
,1,0,0,511561,950613,1223
,1,0,0,511572,952140,0049
,2,0,0,511577,950436,0404
,1,0,0,511579,950374,0139
,1,0,0,511593,950746,2146
,0,0,0,511606,956024,4342
,0,0,0,511607,953435,0046
,2,0,0,511609,955713,2310
,1,0,0,513553,952269,0023
,0,0,0,513558,949638,4165
,2,0,0,513570,949350,3045
,1,0,0,513571,952414,0113
,2,0,0,513575,952640,0342
,2,0,0,513579,951306,0314
,2,0,0,513580,954615,0067
,1,0,0,513588,954324,0044
,6,0,0,513598,952183,0014
,1,0,0,513605,951255,0137
,2,0,0,513617,952466,0165
,1,0,0,513619,953674,0032
,1,0,0,515553,953454,0003
,2,0,0,515559,955121,0421
,1,0,0,515561,951656,0167
,1,0,0,515567,951210,0004
,1,0,0,515571,954977,0110
,6,0,0,515575,950241,0006
,1,0,0,515578,949225,2063
,1,0,0,515579,948965,2003
,1,0,0,515585,955348,0009n
,1,0,0,515596,950379,0144
,2,0,0,515597,956940,0024
,2,0,0,517533,951392,0006
,0,0,0,517535,952330,0029
,1,0,0,517543,948960,0410
,1,0,0,517546,951349,0425
,1,0,0,517550,951276,0218
,3,0,0,517553,950196,0045
,0,0,0,517555,956587,0401
,2,0,0,517572,953914,0312
,1,0,0,517577,950288,0053
,1,0,0,517581,954858,0105
,2,0,0,517587,955799,3063
,1,0,0,517594,949874,035b
,1,0,0,517597,952284,0002
,1,0,0,517624,951374,0001
,3,0,0,517626,953200,0230
,1,0,0,517628,952624,0325
,0,0,0,517631,953263,0004
,1,0,0,523432,950385,0150
,1,0,0,523435,955452,0008
,3,0,0,523438,953999,0001
,3,0,0,523446,956949,03-1
,1,0,0,523455,950714,2111
,1,0,0,523466,954598,0050
,1,0,0,523468,951544,0053
,1,0,0,523471,955661,2029
,1,0,0,523475,952351,0050
,0,0,0,523477,952191,0107
,1,0,0,523490,956738,0009
,1,0,0,523493,951177,4643
,1,0,0,523496,951541,0050
,5,0,0,523502,956742,0012
,1,0,0,523517,955038,0003
,1,0,0,523530,952433,0132
,1,0,0,523535,949678,0010
,2,0,0,525471,952243,0316
,0,0,0,525475,955027,0001
,1,0,0,525478,950583,1144
,2,0,0,525486,953990,004g
,1,0,0,525493,949664,0002b
,2,0,0,525500,955208,0003c
,1,0,0,525501,956642,0414
,1,0,0,525503,953894,0004
,1,0,0,525506,948969,2012
,0,0,0,525507,953058,0772
,1,0,0,525516,952358,0057
,1,0,0,525524,952645,0347
,1,0,0,525535,951258,0200
,1,0,0,525546,951045,3904
,1,0,0,527498,954067,0007
,0,0,0,527506,950199,0048
,1,0,0,527510,951497,0006
,2,0,0,527513,948863,0034
,2,0,0,527517,954622,0074
,4,0,0,527518,953194,0224
,1,0,0,527520,956532,0020
,1,0,0,527521,952565,0265
,1,0,0,527523,950665,1711
,1,0,0,527525,949216,2054
,2,0,0,527535,955199,0003
,1,0,0,527542,951407,0101
,0,0,0,527546,952711,0414
,1,0,0,527556,950732,2129
,1,0,0,531409,949005,0103
,2,0,0,531411,954589,0041
,1,0,0,531414,954761,0008
,2,0,0,531430,955582,1271
,3,0,0,531441,953671,0029
,1,0,0,531443,952430,0129
,1,0,0,531448,956059,4528
,1,0,0,531453,952710,0413
,1,0,0,531456,953895,0005
,1,0,0,531461,952852,0558
,1,0,0,531466,953982,003e
,1,0,0,531469,954321,0041
,2,0,0,531470,950361,0126
,1,0,0,531471,951494,0003
,0,0,0,531475,953992,1a5a
,1,0,0,531483,952094,0001
,3,0,0,533342,950178,0016
,1,0,0,533346,951277,0219
,2,0,0,533349,950095,0081
,1,0,0,533354,955032,0006
,1,0,0,533361,955578,1257
,1,0,0,533367,955924,3588
,1,0,0,533372,954728,0011
,1,0,0,533376,951335,0411
,1,0,0,533396,955099,0114
,0,0,0,533406,948832,0003
,2,0,0,533409,951884,4109
,1,0,0,533412,951427,0303
,2,0,0,533433,955251,0007
,1,0,0,533444,951188,4703
,2,0,0,533445,956347,0347
,1,0,0,533455,949037,0314
,1,0,0,533459,953011,0721
,1,0,0,533462,951682,0105
,1,0,0,533463,950705,2102
,1,0,0,533471,951039,3808
,1,0,0,533485,953187,0116
,1,0,0,533487,950481,0021
,0,0,0,533488,956443,0001
,1,0,0,533497,950177,0015
,0,0,0,533501,955663,2031
,0,0,0,533502,953051,0765
,0,0,0,533525,952159,0012
,1,0,0,533530,952705,0408
,1,0,0,533539,950181,0025
,1,0,0,533544,951134,4525
,2,0,0,533557,952745,0448
,1,0,0,533560,955440,0002
,1,0,0,533571,951503,0012
,1,0,0,533589,955732,2383
,0,0,0,533590,952408,0107
,1,0,0,533602,949901,0101
,2,0,0,533609,953910,0211
,3,0,0,533610,956775,0001
,1,0,0,533614,951644,0153
,1,0,0,533617,953634,0017
,1,0,0,533620,954452,0014
,1,0,0,533625,953199,0229
,1,0,0,533638,952302,0001
,1,0,0,533639,952861,0567
,0,0,0,533640,948878,0003
,1,0,0,537291,954399,0003
,1,0,0,537292,952633,0335
,2,0,0,537297,950038,0024
,1,0,0,537300,956113,02-2
,2,0,0,537316,950363,0128
,1,0,0,537321,951507,0016
,1,0,0,537333,952444,0143
,1,0,0,537335,951245,0126
,0,0,0,537338,951205,0015
,1,0,0,537345,954963,0012
,1,0,0,537363,955051,0016
,1,0,0,537370,952846,0552
,1,0,0,537378,953917,0404
,0,0,0,537385,956795,0135
,1,0,0,537392,951341,0417
,1,0,0,537398,955563,1189
