county_name,reg_voters,white,latinx,aapi,black,native,missing,dnc_precinct_id,van_precinct_id,van_precinct_name
,5042039,91017,27378,1232,12803,44,5534323,,,
,0,0,0,0,0,0,1,114800,,
,0,0,0,0,0,0,1,138470,,
,0,0,0,0,0,0,1,148761,,
,0,0,0,0,0,0,1,153368,,
,0,1,0,0,0,0,0,179718,,
,0,1,0,0,0,0,0,18240,,
,1,0,0,0,0,0,2,289588,,
,0,1,0,0,0,0,0,297311,,
,0,0,0,0,1,0,7,297531,,
,2,0,0,0,0,0,2,297535,,
,0,0,0,0,0,0,1,301265,,
,0,0,0,0,0,0,1,301531,,
,0,0,0,0,0,0,1,301594,,
,0,0,0,0,0,0,1,315652,,
,0,0,0,0,0,0,1,315725,,
,1,0,0,0,0,0,2,317978,,
,1,0,0,0,1,0,2,323655,,
,0,0,0,0,0,0,1,325899,,
,0,0,0,0,0,0,3,329993,,
,1,0,0,0,0,0,1,331689,,
,0,0,0,0,0,0,1,333975,,
,0,0,0,0,0,0,3,334188,,
,1,0,0,0,0,0,2,336223,,
,0,0,0,0,0,0,1,342080,,
,0,0,0,0,0,0,1,342198,,
,0,0,0,0,0,0,1,346332,,
,0,0,0,0,0,0,1,353733,,
,0,1,0,0,0,0,0,355859,,
,0,0,0,0,0,0,3,357985,,
,0,0,0,0,0,0,1,360178,,
,1,0,0,0,0,0,1,362210,,
,0,0,0,0,0,0,3,371482,,
,0,0,0,0,0,0,1,379269,,
,1,0,0,0,0,0,2,484069,953987,004d
,1,0,0,0,0,0,1,484079,951602,0111
,2,0,0,0,0,0,2,484080,951328,0404
,1,0,0,0,0,0,1,484082,950281,0046
,3,0,0,0,0,0,3,484084,952409,0108
,1,0,0,0,0,0,1,484098,953302,0043
,1,0,0,0,0,0,1,484102,950261,0026
,1,0,0,0,0,0,1,484104,950900,3313
,2,0,0,0,0,0,2,484126,955593,1296
,1,0,0,0,0,0,2,484127,956611,0001w
,5,1,0,0,0,0,5,484130,953045,0758
,1,0,0,0,0,0,1,484136,955766,2522
,1,0,0,0,0,0,1,484143,954979,0115
,1,0,0,0,0,0,1,484147,953062,0776
,3,0,0,0,0,0,3,484148,955161,0006
,2,0,0,0,0,0,2,484151,950868,3201
,3,0,0,0,0,0,3,484161,953467,0024
,1,0,0,0,1,0,1,484163,951527,0036
,1,0,0,0,0,0,1,484167,949755,0033
,1,0,0,0,0,0,1,484168,956238,0154
,2,0,0,0,0,0,2,484172,954617,0069
,1,0,0,0,0,0,1,484174,954383,0305
,1,0,0,0,0,0,1,484195,953957,0045
,2,0,0,0,0,0,3,484196,950069,0055
,2,0,0,0,0,0,2,484205,948846,0017
,3,0,0,0,0,0,3,484214,949487,4010
,1,0,0,0,0,0,1,484218,954628,0080
,1,0,0,0,0,0,1,484219,950209,0011
,2,0,0,0,0,0,2,491886,949116,1065
,0,0,1,0,0,0,0,491890,956628,0205
,1,0,0,0,0,0,1,491892,955523,1082
,1,0,0,0,0,0,1,491898,952660,0362
,1,0,0,0,0,0,1,491931,951206,0017
,2,0,0,0,0,0,3,491937,952839,0545
,1,0,0,0,0,0,1,491941,949149,1099
,2,0,0,0,0,0,2,491948,951417,0202
,2,0,0,0,0,0,2,491949,955128,0001
,1,0,0,0,0,0,1,491956,950246,0011
,1,0,0,0,0,0,2,491958,955054,0019
,1,0,0,0,0,0,2,491961,955679,2180
,1,0,0,0,0,0,1,491974,955111,0306
,2,0,0,0,0,0,2,492006,954616,0068
,5,0,0,0,0,0,5,492014,951260,0202
,2,0,0,0,0,0,2,495897,954549,0001
,1,0,0,0,0,0,1,495900,955148,0020
,1,0,0,0,0,0,1,495909,956013,4259
